0.00.154.698 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.457.493 I srv    load_model: loading model '/mnt/models/Laguna-S-2.1-UD-IQ4_NL-00001-of-00003.gguf'
0.05.705.123 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.05.705.127 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
1.10.523.187 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
1.10.587.196 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.10.587.338 I srv  llama_server: model loaded
1.10.587.351 I srv  llama_server: listening on http://0.0.0.0:8103
1.11.536.798 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.11.544.915 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.21.151.553 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.03, t =   9.61 s / 213.19 tokens per second
1.30.361.866 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.05, t =  18.82 s / 217.68 tokens per second
1.39.824.340 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.08, t =  28.28 s / 217.26 tokens per second
1.49.428.648 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.10, t =  37.88 s / 216.24 tokens per second
1.51.754.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8656, progress = 0.11, t =  40.21 s / 215.27 tokens per second
2.01.470.869 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10704, progress = 0.13, t =  49.93 s / 214.40 tokens per second
2.11.121.339 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12752, progress = 0.16, t =  59.58 s / 214.04 tokens per second
2.21.064.859 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14800, progress = 0.18, t =  69.52 s / 212.89 tokens per second
2.31.007.336 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16848, progress = 0.21, t =  79.46 s / 212.02 tokens per second
2.41.042.022 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18896, progress = 0.23, t =  89.50 s / 211.14 tokens per second
2.51.134.819 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20944, progress = 0.26, t =  99.59 s / 210.30 tokens per second
3.01.400.775 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22992, progress = 0.29, t = 109.86 s / 209.29 tokens per second
3.11.818.217 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  25040, progress = 0.31, t = 120.27 s / 208.19 tokens per second
3.22.331.290 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27088, progress = 0.34, t = 130.79 s / 207.12 tokens per second
3.33.057.014 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29136, progress = 0.36, t = 141.51 s / 205.89 tokens per second
3.43.959.855 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31184, progress = 0.39, t = 152.41 s / 204.60 tokens per second
3.54.925.740 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33232, progress = 0.41, t = 163.38 s / 203.40 tokens per second
4.05.963.900 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35280, progress = 0.44, t = 174.42 s / 202.27 tokens per second
4.17.209.666 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37328, progress = 0.46, t = 185.66 s / 201.05 tokens per second
4.28.737.833 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39376, progress = 0.49, t = 197.19 s / 199.68 tokens per second
4.40.526.058 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41424, progress = 0.51, t = 208.98 s / 198.22 tokens per second
4.51.427.944 W srv          stop: cancel task, id_task = 24
4.52.191.890 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43472, progress = 0.54, t = 220.65 s / 197.02 tokens per second
4.53.631.160 W srv          stop: cancel task, id_task = 29
4.54.208.385 W srv          stop: cancel task, id_task = 30
4.55.100.514 W srv          stop: cancel task, id_task = 32
4.56.033.660 W srv          stop: cancel task, id_task = 34
4.56.776.630 W srv          stop: cancel task, id_task = 36
4.57.521.350 W srv          stop: cancel task, id_task = 38
5.00.425.717 W srv          stop: cancel task, id_task = 40
5.01.517.460 W srv          stop: cancel task, id_task = 43
5.02.286.902 W srv          stop: cancel task, id_task = 44
5.03.333.725 W srv          stop: cancel task, id_task = 47
5.04.170.951 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45520, progress = 0.56, t = 232.63 s / 195.68 tokens per second
5.16.095.001 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47568, progress = 0.59, t = 244.55 s / 194.51 tokens per second
5.27.345.983 W srv          stop: cancel task, id_task = 52
5.28.589.517 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49616, progress = 0.62, t = 257.04 s / 193.02 tokens per second
5.41.358.934 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51664, progress = 0.64, t = 269.81 s / 191.48 tokens per second
5.53.812.009 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53712, progress = 0.67, t = 282.27 s / 190.29 tokens per second
6.06.428.091 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55760, progress = 0.69, t = 294.88 s / 189.09 tokens per second
6.19.514.387 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57808, progress = 0.72, t = 307.97 s / 187.71 tokens per second
6.32.952.044 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59856, progress = 0.74, t = 321.41 s / 186.23 tokens per second
6.46.177.381 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61904, progress = 0.77, t = 334.63 s / 184.99 tokens per second
6.59.098.736 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63952, progress = 0.79, t = 347.55 s / 184.01 tokens per second
7.12.228.409 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  66000, progress = 0.82, t = 360.68 s / 182.99 tokens per second
7.25.511.905 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  68048, progress = 0.84, t = 373.97 s / 181.96 tokens per second
7.38.946.044 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  70096, progress = 0.87, t = 387.40 s / 180.94 tokens per second
7.52.441.984 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  72144, progress = 0.89, t = 400.90 s / 179.96 tokens per second
8.06.135.546 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  74192, progress = 0.92, t = 414.59 s / 178.95 tokens per second
8.20.664.386 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  76240, progress = 0.95, t = 429.12 s / 177.67 tokens per second
8.35.554.378 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  78288, progress = 0.97, t = 444.01 s / 176.32 tokens per second
8.49.707.640 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80135, progress = 0.99, t = 458.16 s / 174.91 tokens per second
8.53.080.761 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80545, progress = 1.00, t = 461.54 s / 174.52 tokens per second
8.53.994.099 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80569, progress = 1.00, t = 462.45 s / 174.22 tokens per second
8.55.532.027 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80647, progress = 1.00, t = 463.99 s / 173.81 tokens per second
9.04.003.651 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =  12.17 t/s, tg_3s =  12.16 t/s
9.07.067.264 I slot print_timing: id  0 | task 0 | n_decoded =    137, tg =  12.14 t/s, tg_3s =  12.08 t/s
9.10.136.779 I slot print_timing: id  0 | task 0 | n_decoded =    174, tg =  12.12 t/s, tg_3s =  12.05 t/s
9.13.204.703 I slot print_timing: id  0 | task 0 | n_decoded =    211, tg =  12.11 t/s, tg_3s =  12.06 t/s
9.16.279.781 I slot print_timing: id  0 | task 0 | n_decoded =    248, tg =  12.10 t/s, tg_3s =  12.03 t/s
9.19.362.154 I slot print_timing: id  0 | task 0 | n_decoded =    285, tg =  12.09 t/s, tg_3s =  12.00 t/s
9.22.363.960 I slot print_timing: id  0 | task 0 | n_decoded =    321, tg =  12.08 t/s, tg_3s =  11.99 t/s
9.25.374.777 I slot print_timing: id  0 | task 0 | n_decoded =    357, tg =  12.06 t/s, tg_3s =  11.96 t/s
9.28.456.003 I slot print_timing: id  0 | task 0 | n_decoded =    394, tg =  12.06 t/s, tg_3s =  12.01 t/s
9.31.456.860 I slot print_timing: id  0 | task 0 | n_decoded =    430, tg =  12.05 t/s, tg_3s =  12.00 t/s
9.34.457.623 I slot print_timing: id  0 | task 0 | n_decoded =    466, tg =  12.05 t/s, tg_3s =  12.00 t/s
9.37.542.825 I slot print_timing: id  0 | task 0 | n_decoded =    503, tg =  12.05 t/s, tg_3s =  11.99 t/s
9.40.082.210 I slot print_timing: id  0 | task 0 | prompt eval time =  464238.39 ms / 80651 tokens (    5.76 ms per token,   173.73 tokens per second)
9.40.082.219 I slot print_timing: id  0 | task 0 |        eval time =   44298.85 ms /   530 tokens (   83.58 ms per token,    11.96 tokens per second)
